Interference and Diffraction Data File Tue, Oct 23, 2018 3:48 PM
Sensor Position (Meters)	Light Intensity (Volts)
-0.02039	0.00347
-0.02039	-0.00055
-0.02044	-0.00635
-0.02044	0.00396
-0.02050	-0.00378
-0.02050	-0.00184
-0.02050	0.00315
-0.02056	0.00380
-0.02056	-0.00619
-0.02061	-0.00136
-0.02061	-0.00603
-0.02061	-0.00007
-0.02067	0.00363
-0.02067	-0.00555
-0.02072	0.00525
-0.02072	-0.00474
-0.02078	-0.00523
-0.02078	-0.00217
-0.02078	-0.00136
-0.02083	0.00235
-0.02083	-0.00007
-0.02089	-0.00007
-0.02089	0.00122
-0.02089	0.00041
-0.02094	-0.00120
-0.02094	-0.00039
-0.02100	0.00235
-0.02100	0.00138
-0.02100	0.00637
-0.02106	0.00299
-0.02106	0.00057
-0.02106	-0.00072
-0.02111	0.00186
-0.02111	-0.00120
-0.02117	-0.00507
-0.02117	0.00283
-0.02117	-0.00571
-0.02122	-0.00313
-0.02122	-0.00136
-0.02128	-0.00442
-0.02128	0.00057
-0.02133	-0.00072
-0.02133	0.00122
-0.02133	-0.00152
-0.02139	-0.00120
-0.02139	0.00476
-0.02144	0.00492
-0.02144	-0.00587
-0.02150	0.00170
-0.02150	0.00170
-0.02150	0.00122
-0.02156	0.00637
-0.02156	0.00025
-0.02161	0.00428
-0.02161	0.00299
-0.02161	-0.00136
-0.02167	-0.00700
-0.02167	0.00154
-0.02172	-0.00571
-0.02172	-0.00023
-0.02172	0.00057
-0.02178	0.00476
-0.02178	0.00057
-0.02183	-0.00362
-0.02183	0.00396
-0.02183	-0.00539
-0.02189	0.00186
-0.02189	0.00154
-0.02194	-0.00362
-0.02194	-0.00249
-0.02194	0.00235
-0.02200	0.00009
-0.02200	-0.00152
-0.02206	0.00492
-0.02206	-0.00104
-0.02206	-0.00442
-0.02211	-0.00233
-0.02211	-0.00233
-0.02217	0.00315
-0.02217	-0.00184
-0.02217	0.00299
-0.02222	0.00235
-0.02222	-0.00652
-0.02228	0.00428
-0.02228	-0.00635
-0.02228	-0.00233
-0.02233	-0.00619
-0.02233	-0.00023
-0.02239	-0.00023
-0.02239	0.00009
-0.02239	0.00492
-0.02244	-0.00249
-0.02244	0.00525
-0.02250	0.00525
-0.02250	0.00251
-0.02256	-0.00120
-0.02256	-0.00587
-0.02256	-0.00233
-0.02261	-0.00378
-0.02261	-0.00474
-0.02261	-0.00281
-0.02267	-0.00152
-0.02267	-0.00184
-0.02272	-0.00120
-0.02272	0.00025
-0.02272	0.00476
-0.02278	-0.00184
-0.02278	-0.00442
-0.02283	0.00299
-0.02283	0.00541
-0.02283	-0.00184
-0.02289	-0.00007
-0.02289	0.00798
-0.02289	0.00347
-0.02294	-0.00007
-0.02294	-0.00217
-0.02300	0.00380
-0.02300	0.00508
-0.02300	0.00363
-0.02306	-0.00104
-0.02306	0.00492
-0.02311	-0.00007
-0.02311	-0.00233
-0.02311	-0.00088
-0.02317	0.00412
-0.02317	0.00347
-0.02322	-0.00281
-0.02322	-0.00217
-0.02322	-0.00571
-0.02328	-0.00023
-0.02328	-0.00507
-0.02333	-0.00120
-0.02333	0.00025
-0.02333	-0.00362
-0.02339	-0.00136
-0.02339	-0.00023
-0.02344	0.00396
-0.02344	-0.00072
-0.02344	0.00154
-0.02350	-0.00152
-0.02350	0.00122
-0.02350	-0.00539
-0.02356	-0.00136
-0.02356	-0.00555
-0.02361	0.00460
-0.02361	0.00396
-0.02361	0.00009
-0.02367	0.00557
-0.02367	0.00154
-0.02372	0.00170
-0.02372	0.00363
-0.02372	-0.00152
-0.02378	-0.00233
-0.02378	0.00589
-0.02383	0.00154
-0.02383	0.00347
-0.02383	-0.00055
-0.02389	0.00492
-0.02389	0.00396
-0.02394	0.00460
-0.02394	-0.00039
-0.02394	0.00138
-0.02400	0.00396
-0.02400	0.00090
-0.02406	-0.00168
-0.02406	0.00315
-0.02411	0.00251
-0.02411	-0.00200
-0.02411	-0.00152
-0.02417	0.00541
-0.02417	0.00412
-0.02417	0.00347
-0.02422	0.00251
-0.02422	0.00460
-0.02428	0.00090
-0.02428	0.00267
-0.02428	0.00508
-0.02433	-0.00152
-0.02433	-0.00184
-0.02439	0.00396
-0.02439	0.00347
-0.02439	-0.00007
-0.02444	0.00009
-0.02444	0.00476
-0.02444	-0.00523
-0.02450	-0.00072
-0.02450	-0.00104
-0.02456	-0.00168
-0.02456	0.00106
-0.02461	-0.00072
-0.02461	-0.00023
-0.02461	0.00138
-0.02467	-0.00378
-0.02467	-0.00233
-0.02472	-0.00184
-0.02472	0.00202
-0.02472	0.00235
-0.02478	0.00347
-0.02478	-0.00200
-0.02483	0.00186
-0.02483	0.00154
-0.02483	-0.00039
-0.02489	-0.00587
-0.02489	0.00557
-0.02494	-0.00603
-0.02494	0.00412
-0.02494	-0.00523
-0.02500	-0.00168
-0.02500	-0.00072
-0.02506	0.00605
-0.02506	-0.00539
-0.02506	-0.00426
-0.02511	-0.00200
-0.02511	0.00106
-0.02517	0.00460
-0.02517	-0.00200
-0.02517	-0.00555
-0.02522	-0.00184
-0.02522	-0.00104
-0.02522	0.00363
-0.02528	0.00154
-0.02528	-0.00394
-0.02533	0.00057
-0.02533	-0.00072
-0.02533	0.00460
-0.02539	0.00251
-0.02539	-0.00539
-0.02539	-0.00732
-0.02544	-0.00313
-0.02544	0.00412
-0.02550	-0.00152
-0.02550	0.00476
-0.02550	-0.00877
-0.02556	-0.00233
-0.02556	0.00331
-0.02561	0.00363
-0.02561	-0.00200
-0.02567	0.00363
-0.02567	-0.00265
-0.02567	0.00283
-0.02572	0.00331
-0.02572	-0.00168
-0.02578	-0.00200
-0.02578	-0.00039
-0.02578	-0.00668
-0.02583	-0.00233
-0.02583	0.00186
-0.02589	0.00267
-0.02589	-0.00152
-0.02589	0.00122
-0.02594	-0.00168
-0.02594	-0.00265
-0.02600	-0.00813
-0.02600	0.00380
-0.02600	-0.00007
-0.02606	0.00235
-0.02606	-0.00120
-0.02611	-0.00748
-0.02611	-0.00700
-0.02611	-0.00442
-0.02617	0.00170
-0.02617	0.00235
-0.02617	-0.00184
-0.02622	0.00186
-0.02622	-0.00039
-0.02628	-0.00635
-0.02628	-0.00152
-0.02628	0.00380
-0.02633	0.00009
-0.02633	-0.00039
-0.02639	0.00057
-0.02639	-0.00007
-0.02639	0.00218
-0.02644	0.00331
-0.02644	-0.00507
-0.02650	0.00267
-0.02650	-0.00523
-0.02656	0.00380
